MSD	Animate	Aspect	CATEGORY	Case	Case2	Coord_Type	Definiteness	Degree	Form	Formation	Gender	Number	Person	Sub_Type	Syntactic_Type	Tense	Type	VForm	Voice
Vm-s-p-afp		progressive	Verb	-			full-art				-	plural	-			past	main	-	active
Vm-s-p-a-p		progressive	Verb	-			-				-	plural	-			past	main	-	active
Vm-s-p-m-e		perfective	Verb	-			-				-	plural	-			past	main	-	medial
Vm-s-p-mfei		perfective	Verb	instrumental			full-art				-	plural	-			past	main	-	medial
Vm-s-p-mfen		perfective	Verb	nominative			full-art				-	plural	-			past	main	-	medial
Vm-s-p-mfpi		progressive	Verb	instrumental			full-art				-	plural	-			past	main	-	medial
Vm-s-p-mfpn		progressive	Verb	nominative			full-art				-	plural	-			past	main	-	medial
Vm-s-pnafei		perfective	Verb	instrumental			full-art				neuter	plural	-			past	main	-	active
Vm-s-pnafpi		progressive	Verb	instrumental			full-art				neuter	plural	-			past	main	-	active
Vm-s-pnmfei		perfective	Verb	instrumental			full-art				neuter	plural	-			past	main	-	medial
Vm-s-pnmfpi		progressive	Verb	instrumental			full-art				neuter	plural	-			past	main	-	medial
Vm-s-pnpfei		perfective	Verb	instrumental			full-art				neuter	plural	-			past	main	-	passive
Vm-s-pnpfpi		progressive	Verb	instrumental			full-art				neuter	plural	-			past	main	-	passive
Vm-s-p-pfei		perfective	Verb	instrumental			full-art				-	plural	-			past	main	-	passive
Vm-s-p-pfen		perfective	Verb	nominative			full-art				-	plural	-			past	main	-	passive
Vm-s-p-pfpi		progressive	Verb	instrumental			full-art				-	plural	-			past	main	-	passive
Vm-s-p-pfpn		progressive	Verb	nominative			full-art				-	plural	-			past	main	-	passive
Vm-s-p-pse		perfective	Verb	-			short-art				-	plural	-			past	main	-	passive
Vm-s-p-psp		progressive	Verb	-			short-art				-	plural	-			past	main	-	passive
Vm-s-sfa-e		perfective	Verb	-			-				feminine	singular	-			past	main	-	active
Vm-s-sfafea		perfective	Verb	accusative			full-art				feminine	singular	-			past	main	-	active
Vm-s-sfafei		perfective	Verb	instrumental			full-art				feminine	singular	-			past	main	-	active
Vm-s-sfafen		perfective	Verb	nominative			full-art				feminine	singular	-			past	main	-	active
Vm-s-sfafe		perfective	Verb	-			full-art				feminine	singular	-			past	main	-	active
Vm-s-sfafpa		progressive	Verb	accusative			full-art				feminine	singular	-			past	main	-	active
Vm-s-sfafpn		progressive	Verb	nominative			full-art				feminine	singular	-			past	main	-	active
Vm-s-sfa-p		progressive	Verb	-			-				feminine	singular	-			past	main	-	active
Vm-s-sfmfea		perfective	Verb	accusative			full-art				feminine	singular	-			past	main	-	medial
Vm-s-sfmfen		perfective	Verb	nominative			full-art				feminine	singular	-			past	main	-	medial
Vm-s-sfmfpa		progressive	Verb	accusative			full-art				feminine	singular	-			past	main	-	medial
Vm-s-sfmfpn		progressive	Verb	nominative			full-art				feminine	singular	-			past	main	-	medial
Vm-s-sfpfea		perfective	Verb	accusative			full-art				feminine	singular	-			past	main	-	passive
Vm-s-sfpfen		perfective	Verb	nominative			full-art				feminine	singular	-			past	main	-	passive
Vm-s-sfpfpa		progressive	Verb	accusative			full-art				feminine	singular	-			past	main	-	passive
Vm-s-sfpfpn		progressive	Verb	nominative			full-art				feminine	singular	-			past	main	-	passive
Vm-s-sfpse		perfective	Verb	-			short-art				feminine	singular	-			past	main	-	passive
Vm-s-sfpsp		progressive	Verb	-			short-art				feminine	singular	-			past	main	-	passive
Vm-s-sma-e		perfective	Verb	-			-				masculine	singular	-			past	main	-	active
Vm-s-smafen		perfective	Verb	nominative			full-art				masculine	singular	-			past	main	-	active
Vm-s-smafe		perfective	Verb	-			full-art				masculine	singular	-			past	main	-	active
Vm-s-smafpn		progressive	Verb	nominative			full-art				masculine	singular	-			past	main	-	active
Vm-s-smafp		progressive	Verb	-			full-art				masculine	singular	-			past	main	-	active
Vm-s-sma-p		progressive	Verb	-			-				masculine	singular	-			past	main	-	active
Vm-s-smmfen		perfective	Verb	nominative			full-art				masculine	singular	-			past	main	-	medial
Vm-s-smmfpn		progressive	Verb	nominative			full-art				masculine	singular	-			past	main	-	medial
Vm-s-smpfen		perfective	Verb	nominative			full-art				masculine	singular	-			past	main	-	passive
Vm-s-smpfpn		progressive	Verb	nominative			full-art				masculine	singular	-			past	main	-	passive
Vm-s-smpse		perfective	Verb	-			short-art				masculine	singular	-			past	main	-	passive
Vm-s-smpsp		progressive	Verb	-			short-art				masculine	singular	-			past	main	-	passive
Vm-s-sna-e		perfective	Verb	-			-				neuter	singular	-			past	main	-	active
Vm-s-snafed		perfective	Verb	dative			full-art				neuter	singular	-			past	main	-	active
Vm-s-snafeg		perfective	Verb	genitive			full-art				neuter	singular	-			past	main	-	active
Vm-s-snafen		perfective	Verb	nominative			full-art				neuter	singular	-			past	main	-	active
Vm-s-snafpd		progressive	Verb	dative			full-art				neuter	singular	-			past	main	-	active
Vm-s-snafpg		progressive	Verb	genitive			full-art				neuter	singular	-			past	main	-	active
Vm-s-snafpn		progressive	Verb	nominative			full-art				neuter	singular	-			past	main	-	active
Vm-s-sna-p		progressive	Verb	-			-				neuter	singular	-			past	main	-	active
Vm-s-snmfed		perfective	Verb	dative			full-art				neuter	singular	-			past	main	-	medial
Vm-s-snmfeg		perfective	Verb	genitive			full-art				neuter	singular	-			past	main	-	medial
Vm-s-snmfen		perfective	Verb	nominative			full-art				neuter	singular	-			past	main	-	medial
Vm-s-snmfpg		progressive	Verb	genitive			full-art				neuter	singular	-			past	main	-	medial
Vm-s-snmfpn		progressive	Verb	nominative			full-art				neuter	singular	-			past	main	-	medial
Vm-s-snpfed		perfective	Verb	dative			full-art				neuter	singular	-			past	main	-	passive
Vm-s-snpfeg		perfective	Verb	genitive			full-art				neuter	singular	-			past	main	-	passive
Vm-s-snpfen		perfective	Verb	nominative			full-art				neuter	singular	-			past	main	-	passive
Vm-s-snpfpd		progressive	Verb	dative			full-art				neuter	singular	-			past	main	-	passive
Vm-s-snpfpg		progressive	Verb	genitive			full-art				neuter	singular	-			past	main	-	passive
Vm-s-snpfpn		progressive	Verb	nominative			full-art				neuter	singular	-			past	main	-	passive
Vm-s-snpse		perfective	Verb	-			short-art				neuter	singular	-			past	main	-	passive
Vm-s-snpsp		progressive	Verb	-			short-art				neuter	singular	-			past	main	-	passive
Vm		-	Verb	-			-				-	-	-			-	main	-	-
